,participantId,gameId,championId,spell1Id,spell2Id
31,2,3412765990,81,4,7
32,3,3412765990,412,14,4
33,4,3412765990,34,4,12
34,5,3412765990,58,4,12
280,6,3412765990,161,4,7
281,7,3412765990,104,4,11
282,8,3412765990,51,7,4
283,9,3412765990,131,12,4
284,10,3412765990,16,14,4
25,1,3412773043,81,7,4
26,2,3412773043,43,4,21
27,3,3412773043,58,4,12
28,4,3412773043,106,11,4
29,5,3412773043,157,14,4
275,6,3412773043,127,4,12
276,7,3412773043,117,4,14
277,8,3412773043,254,11,4
278,9,3412773043,420,4,12
279,10,3412773043,96,4,7
20,1,3412836628,2,4,11
21,2,3412836628,131,12,4
22,3,3412836628,235,4,14
23,4,3412836628,22,7,4
24,5,3412836628,55,14,4
270,6,3412836628,86,14,4
271,7,3412836628,64,4,11
272,8,3412836628,18,7,4
273,9,3412836628,115,4,14
274,10,3412836628,89,4,14
10,1,3412939657,222,7,4
11,2,3412939657,103,4,12
12,3,3412939657,106,14,4
13,4,3412939657,21,14,4
14,5,3412939657,59,11,4
260,6,3412939657,131,4,14
261,7,3412939657,202,7,4
262,8,3412939657,86,14,4
263,9,3412939657,102,4,11
264,10,3412939657,161,4,14
15,1,3412945039,67,4,7
16,2,3412945039,235,4,3
17,3,3412945039,266,12,4
18,4,3412945039,154,4,11
19,5,3412945039,268,21,4
265,6,3412945039,111,14,4
266,7,3412945039,55,4,14
267,8,3412945039,19,4,11
268,9,3412945039,498,4,7
269,10,3412945039,75,4,12
5,1,3414381250,412,4,14
6,2,3414381250,122,4,14
7,3,3414381250,20,4,11
8,4,3414381250,29,4,3
9,5,3414381250,131,4,14
255,6,3414381250,267,14,4
256,7,3414381250,58,4,14
257,8,3414381250,154,11,4
258,9,3414381250,103,14,4
259,10,3414381250,222,7,4
0,1,3414404544,61,21,4
1,2,3414404544,21,4,7
2,3,3414404544,201,4,3
3,4,3414404544,64,4,11
4,5,3414404544,17,6,4
250,6,3414404544,110,21,4
251,7,3414404544,222,7,4
252,8,3414404544,101,4,3
253,9,3414404544,157,14,4
254,10,3414404544,48,4,11
