,participantId,gameId,role,lane,creepsPerMinDeltas_0-10,xpPerMinDeltas_0-10,goldPerMinDeltas_0-10,csDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_0-10,damageTakenPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_0-10,creepsPerMinDeltas_10-20,xpPerMinDeltas_10-20,goldPerMinDeltas_10-20,csDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_10-20,damageTakenPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_10-20,creepsPerMinDeltas_20-30,xpPerMinDeltas_20-30,goldPerMinDeltas_20-30,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_20-30,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end
360,6,3411756597,DUO,NONE,8.2,312.6,350.1,-0.5999999999999999,-48.039999999999964,218.2,-36.359999999999985,,,,,,,,,,,,,,,,,,,,,
361,7,3411756597,DUO_SUPPORT,NONE,0.0,248.4,165.8,-0.5999999999999999,-48.039999999999964,216.29999999999998,-36.359999999999985,,,,,,,,,,,,,,,,,,,,,
362,8,3411756597,DUO_SUPPORT,NONE,0.2,318.8,340.2,-0.5999999999999999,-48.039999999999964,761.7,-36.359999999999985,,,,,,,,,,,,,,,,,,,,,
363,9,3411756597,DUO_SUPPORT,NONE,5.6,352.5,204.5,-0.5999999999999999,-48.039999999999964,626.9000000000001,-36.359999999999985,,,,,,,,,,,,,,,,,,,,,
364,10,3411756597,DUO_SUPPORT,NONE,5.0,361.79999999999995,292.0,-0.5999999999999999,-48.039999999999964,419.09999999999997,-36.359999999999985,,,,,,,,,,,,,,,,,,,,,
100,1,3411839008,DUO_SUPPORT,BOTTOM,0.0,215.0,182.7,-0.3500000000000001,2.0000000000000284,214.2,46.64999999999999,0.5,304.5,310.2,-0.2999999999999996,87.0,697.9,128.99999999999997,,,,,,,,,,,,,,
101,2,3411839008,DUO,MIDDLE,7.199999999999999,456.9,265.5,,,332.0,,4.4,520.9,570.6,,,1027.0,,,,,,,,,,,,,,,
102,3,3411839008,NONE,JUNGLE,0.0,369.3,284.8,-1.6,68.70000000000002,678.1,-3.099999999999966,0.5,489.40000000000003,425.20000000000005,-1.2999999999999998,62.50000000000003,783.0,-838.2,,,,,,,,,,,,,,
103,4,3411839008,DUO_CARRY,BOTTOM,6.0,277.20000000000005,229.89999999999998,-0.3500000000000001,2.0000000000000284,230.89999999999998,46.64999999999999,6.300000000000001,506.0,347.4,-0.2999999999999996,87.0,731.7,128.99999999999997,,,,,,,,,,,,,,
104,5,3411839008,DUO,MIDDLE,6.5,478.20000000000005,265.5,,,513.5,,6.5,520.0,424.4,,,1281.1,,,,,,,,,,,,,,,
